LokacijaId;Nastanek;Ura;Leto;Skupina dogodka;Dogodek;WGSLat;WGSLon;OPIS
344397;02.04.2023;15:45;2023;Nesreče v gorah;nesreče v gorah;46,1832585;13,7636344;Ob 15.45 je pri slapu Beri v občini Tolmin planinca obšla slabost. Še pred prihodom gorskih reševalcev GRS Tolmin si je planinec nekoliko opomogel. Gorski reševalci so mu nudili pomoč pri sestopu do vasi Poljubinj. 
322328;02.06.2022;14:38;2022;Nesreče v gorah;nesreče v gorah;46,3553633;14,5619261;Ob 14.38 so na južni strani Skute, občina Kamnik, obtičali trije planinci. Gorski reševalci GRS Kamnik in helikopter LPE so planince nepoškodovane prepeljali v dolino.
327956;02.08.2022;09:30;2022;Nesreče v gorah;nesreče v gorah;46,4246174;14,3353814;Ob 9.30 je na planini Šija, občina Tržič, nenadno obolela oseba. Posredovali so reševalci GRS Tržič in helikopter LPE z dežurno ekipo za reševanje v gorah GRS Brnik. Helikopter jo je prepeljal v SB Jesenice. 
327983;02.08.2022;17:59;2022;Nesreče v gorah;nesreče v gorah;46,2672017;13,8421128;Ob 18.05 sta planinki sestopali po nemarkirani poti z Vogla proti dolini, občina Bohinj in obtičali. Reševalci GRS Bohinj in dežurna ekipa za reševanje v gorah GRS Brnik so ju dvignili v helikopter LPE in nepoškodovani prepeljali v dolino. 
327988;02.08.2022;19:09;2022;Nesreče v gorah;nesreče v gorah;46,3425464;14,0029484;Ob 19.09 je na Grajski planini, občina Bled, nenadno obolela oseba. Reševalci GRS Radovljica so osebo na kraju oskrbeli, helikopter LPE pa jo je v spremstvu dežurne ekipe GRS Brnik prepeljal v SB Jesenice.
328002;02.08.2022;20:02;2022;Nesreče v gorah;nesreče v gorah;46,127823;14,461146;Ob 20.09 je na poti na Šmarno goro, občina Ljubljana, padla pohodnica in si poškodovala zapestje ter golenico. Gorski reševalci GRS Ljubljana in gasilci GB Ljubljana so pohodnico oskrbeli in ji imobilizirali zapestje. Gorski reševalci so jo s terenskim vozilom prepeljali do vasi Zavrh in predali reševalcem RP KC Ljubljana.
331812;02.09.2022;10:24;2022;Nesreče v gorah;nesreče v gorah;46,2875038;14,582256;Ob 10.24 je na poti na Kamniški Vrh, občina Kamnik, obnemogel pohodnik. Posredovali so gorski reševalci GRS Kamnik in helikopter Slovenske vojske z dežurno ekipo GRS na Brniku. Obolelega pohodnika so prepeljali na zdravljenje  v UKC Ljubljana.
331966;02.09.2022;20:03;2022;Nesreče v gorah;nesreče v gorah;46,4783019;14,0691344;Ob 20.03 si je oseba poškodovala gleženj na Planini pod Golico, občina Jesenice. Reševalci GRS Jesenice so osebo oskrbeli ter jo prenesli do reševalcev NMP Jesenice.  
334812;02.10.2022;13:39;2022;Nesreče v gorah;nesreče v gorah;46,4401486;13,7430449;Ob 13.39 si je pri sestopu s pobočja Male Mojstrovke proti Vršiču planinka poškodovala nogo. Gorski reševalci GRS Kranjska Gora so jo locirali, oskrbeli na kraju dogodka in na klasičen način prenesli do Vršiča. Tam so jo prevzeli prijatelji in odpeljali na nadaljnje zdravljenje.
334792;02.10.2022;08:01;2022;Nesreče v gorah;nesreče v gorah;46,1674749;14,2624681;Ob 8.01 si je pod vrhom Lubnika, občina Škofja Loka, planinka poškodovala nogo. Gorski reševalci GRS Škofja Loka so jo locirali, na kraju oskrbeli in prepeljali v ZD Škofja Loka.
334830;02.10.2022;20:08;2022;Nesreče v gorah;nesreče v gorah;46,4053583;13,8412186;Ob 20.08 je v gozdu nad Aljaževim domom, občina Kranjska Gora, pohodnik zdrsnil in si poškodoval nogo. Reševalci GRS Mojstrana so mu na kraju nudili pomoč in ga pospremili do Aljaževega doma.
313239;03.01.2022;07:20;2022;Nesreče v gorah;nesreče v gorah;46,3790367;13,8489978;Ob 7.20 so na Kredarici, občina Kranjska Gora, reševalci GRS Mojstrana in dežurna ekipa GRZS-HNMP z Brnika, oskrbeli poškodovanega planinca, ki se je poškodoval že dan prej. Poškodovani je bil s helikopterjem SV prepeljan na nadaljnje zdravljenje v SB Jesenice.
313256;03.01.2022;13:46;2022;Nesreče v gorah;nesreče v gorah;46,334749;14,5595223;Ob 13.46 sta v Kamniških Alpah pod kočo v Kalcah iz poti skrenile dve  planinki. Reševalci GRS Kamnik so ju varno pospremili v dolino.
316350;03.03.2022;12:36;2022;Nesreče v gorah;nesreče v gorah;46,3949961;14,2567089;Ob 12.43 se je na Zelenici, občina Tržič, poškodoval turni smučar. Gorski reševalci GRS Tržič so poškodovanca na kraju oskrbeli in nato prepeljali v dolino.
345746;03.05.2023;13:34;2023;Nesreče v gorah;nesreče v gorah;46,3708504;13,8577357;Ob 13.48 se je na poti iz Krme proti Kredarici, občina Gorje, izgubila tuja pohodnica. Gorske reševalce GRS Mojstrana je helikopter SV prepeljal do baze oblakov, od koder so nadaljevali peš. V spremstvu gorskih reševalcev je pohodnica nepoškodovana vendar podhlajena sestopila do kraja, od koder so jo s helikopterjem prepeljali v dolino.
325339;03.07.2022;07:55;2022;Nesreče v gorah;nesreče v gorah;46,3835494;13,9312505;Ob 7.55 si je pri sestopu iz Debele peči, občina Gorje, planinka pri padcu poškodovala ramo in roko. Gorski reševalci GRS Radovljica in dežurna ekipa GRS Brnik so jo na kraju oskrbeli, nato pa jo je helikopter Slovenske vojske prepeljal v SB Jesenice.
325354;03.07.2022;09:59;2022;Nesreče v gorah;nesreče v gorah;46,2951869;13,8003629;Ob 9.59 sta na poti proti Sedmerim jezerom, občina Bohinj, planincem v prepad padla psa. Eden je bil mrtev, drugi pa poškodovan. Gorski reševalci GRS Bohinj so ju s pomočjo dežurne ekipe GRS Brnik in helikopterja Slovenske vojske prepeljali v dolino. Lastniki so poškodovanega psa peljali k veterinarju, drugega pa bo prevzela higienska služba.
325363;03.07.2022;12:21;2022;Nesreče v gorah;nesreče v gorah;46,4287176;14,3243423;Ob 12.21 se je na grebenu Košute, občina Tržič, pri padcu poškodoval planinec. Gorski reševalci GRS Tržič in dežurna ekipa GRS Brnik so ga na kraju oskrbeli, nato pa ga je helikopter Slovenske vojske prepeljal v SB Jesenice.
325367;03.07.2022;12:48;2022;Nesreče v gorah;nesreče v gorah;46,3755452;13,9301232;Ob 12.48 je na Blejski koči, občina Gorje, obolela oseba potrebovala pomoč. Gorski reševalci GRS Radovljica in dežurna ekipa HNMP Brnik so obolelo osebo s pomočjo helikopterja Slovenske vojske prepeljali v SB Jesenice.
325379;03.07.2022;13:00;2022;Nesreče v gorah;nesreče v gorah;46,418886;14,6473679;Ob 13.00 se je na slapu Palenk v Logarski dolini, občina Solčava, pripetila nesreča, v kateri je plezalec padel 20 metrov globoko. Reševalci NMP Mozirje z gorskimi reševalci GRS Celje in gasilci PGD Solčava so poškodovanega oskrbeli, ga z vrvno tehniko spustili z roba police in prenesli do mesta pristanka helikopterja, kjer ga je prevzela dežurna ekipa HNMP Maribor. Helikopter SV je poškodovanca prepeljal v UKC Maribor. O dogodku so bile obveščene pristojne službe.
325380;03.07.2022;13:53;2022;Nesreče v gorah;nesreče v gorah;46,40056;13,923718;Ob 13.53 je gost Kovinarske koče v Krmi, občina Gorje, potreboval zdravniško pomoč. Gorski reševalci GRS Mojstrana so ga na kraju oskrbeli, nato pa prepeljali v dolino, kjer so ga prevzeli reševalci NMP Jesenice.
325384;03.07.2022;14:09;2022;Nesreče v gorah;nesreče v gorah;46,3705328;14,5493924;Ob 14.09 si je planinec pri Kranjski koči na Ledinah, občina Jezersko, poškodoval koleno. Gorski reševalci GRS Jezersko in dežurna ekipa GRS Brnik so ga oskrbeli, nato pa ga je helikopter SV prepeljal v SB Jesenice.
328033;03.08.2022;11:25;2022;Nesreče v gorah;nesreče v gorah;45,8306884;13,9776734;Ob 11.40 sta se v Gradiški turi v občini Vipava zaplezala planinca. Gorski reševalci GRS Tolmin - skupina Ajdovščina so nepoškodovana planinca z vrvno tehniko spustili s stene na pešpot.
332039;03.09.2022;19:53;2022;Nesreče v gorah;nesreče v gorah;46,3199462;14,6689337;Ob 19.53 sta se na težko dostopnem območju na Lučki Beli, občina Luče, izgubila dva pohodnika. Reševalci GRS Celje so pohodnika našli ter varno prepeljali v dolino. Poškodovan ni bil nihče.
316465;04.03.2022;18:11;2022;Nesreče v gorah;nesreče v gorah;46,433032;14,0175501;Ob 18.10 sta se na območju Male Mežakle, občina Jesenice, zaplezala dva pohodnika. Gorski reševalci GRS Jesenice so jih locirali, z vrvno tehniko rešili iz neprehodnega terena ter peš pospremili v dolino. 
344482;04.04.2023;15:48;2023;Nesreče v gorah;nesreče v gorah;46,2917415;13,704854;Ob 15.52 sta se med Vratci in Krnskim jezerom pod Veliko Babo, občina Kobarid, zaplezali planinki. Aktivirani so bil gorski reševalci GRS Bovec. V dolino je nepoškodovani planinki prepeljal helikopter SV skupaj z združeno ekipo GRS–HNMP.
345798;04.05.2023;15:12;2023;Nesreče v gorah;nesreče v gorah;46,4969741;14,9607802;Ob 15.12 se je pri sestopu iz Uršlje gore proti Ivarčkem jezeru v občini Ravne na Koroškem poškodovala planinka. Reševalci GRS Koroške so planinki na kraju nudili prvo pomoč in jo prenesli do reševalnega vozila.
322796;04.06.2022;10:03;2022;Nesreče v gorah;nesreče v gorah;46,4010016;14,746003;Ob 10.03 je na Planini Arta, občina Luče, pohodnika obšla slabost. Posredovali so gorski reševalci GRS Celje ter posadka s helikopterjem SV z dežurno ekipo GRS Brnik na krovu. Obolelega planinca so prepeljali v UKC Ljubljana.
325494;04.07.2022;17:16;2022;Nesreče v gorah;nesreče v gorah;46,3547552;14,5699392;Ob 17.37 sta se na območju Skute v Kamniško Savinjskih Alpah zaplezali francoski planinki. Poletel je helikopter SV z dežurno ekipo za reševanje v gorah in planinki nepoškodovani prepeljal v dolino. Posredovali so tudi reševalci GRS Kamnik. 
328114;04.08.2022;12:19;2022;Nesreče v gorah;nesreče v gorah;46,4869177;13,8451785;Ob 10.22 se je v Gozd Martuljku, občina Kranjska Gora, pri padcu v ferati Hladnik huje poškodoval pohodnik. Na kraju so ga oskrbeli reševalci GRS Kranjska Gora in dežurna ekipa GRS z Brnika. Posadka s helikopterjem LPE je poškodovanca prepeljala v SB Jesenice.
328157;04.08.2022;20:26;2022;Nesreče v gorah;nesreče v gorah;46,4201585;13,7874781;Ob 20.26 sta se na območju Prisankovega okna, občina Kranjska gora, izgubila tuja planinca. Planinca bosta bivakirala čez noč na območju Prisanka. Aktivirani so bili gorski reševalci GRS Kranjska Gora. Reševanje bo potekalo dne 5. 8. 2022 v jutranjih urah.
328160;04.08.2022;21:22;2022;Nesreče v gorah;nesreče v gorah;46,3004965;13,8935819;Ob 21.20 se je na območju Prevala in Planine Blatca, občina Bohinj, izgubil tuj planinec. Gorski reševalci GRS Bohinj so območje preiskali in našli izgubljenega planinca. Gorski reševalci so nepoškodovanega planinca opremili z ustrezno opremo, na klasični način pospremili iz neprehodnega pobočja na planinsko pot in nato prepeljali v dolino.
332069;04.09.2022;11:00;2022;Nesreče v gorah;nesreče v gorah;46,3115228;13,8408232;Ob 10.20 si je nad Planino Blato, občina Bohinj, planinka poškodovala gleženj in ni mogla sestopiti. Na kraju nesreče so jo oskrbeli gorski reševalci GRS Bohinj, jo prenesli do ceste in prepeljali v dolino, kjer so jo prevzeli svojci in odpeljali na nadaljnje zdravljenje. 
334937;04.10.2022;20:36;2022;Nesreče v gorah;nesreče v gorah;46,4020811;14,5944646;Ob 20.36 sta v na območju Matkovega kota v občini Solčava zašla planinca. Reševalci Postaje GRS Celje so dostopili do nepoškodovanih planincev in ju pospremili v dolino.
314923;05.02.2022;18:12;2022;Nesreče v gorah;nesreče v gorah;46,4312548;14,3163383;Ob 18.13 so na Velikem vrhu na Košuti, občina Tržič, posredovali gorski reševalci postaje GRS Tržič , kjer planinec ni mogel sam sestopiti v dolino. Reševalci GRS Tržič so ga pospremili v dolino.
341605;05.02.2023;11:59;2023;Nesreče v gorah;nesreče v gorah;46,3567199;14,5878776;Ob 11.59 se je pri sestopu preko severne stene Brane v občini Solčava poškodoval planinec. Posredovali so gorski reševalci GRS Celje in dežurna ekipa GRS z Brnika. Osebo so oskrbeli, helikopter SV pa jo je prepeljal v SB Jesenice. 
316493;05.03.2022;11:47;2022;Nesreče v gorah;nesreče v gorah;46,4218684;13,7926342;Ob 11.47 se je nad Kočo v Krnici, občina Kranjska Gora, pri padcu poškodoval turni smučar. Gorski reševalci GRS Kranjska Gora in dežurna ekipa GRS Brnik so poškodovanega smučarja na kraju oskrbeli, nato pa ga je helikopter Slovenske vojske prepeljal v Splošno bolnišnico Jesenice.
322891;05.06.2022;12:09;2022;Nesreče v gorah;nesreče v gorah;46,3457649;14,6378051;Ob 12.09 je v Kamniški Bistrici, občina Kamnik, v plezalni steni Vežica, smer Črnolaska, odkrušen del skale poškodoval roko plezalke. Poškodovana plezalka je obvisela na vrvi približno dva raztežaja pod vrhom. Aktivirani so bili gorski reševalci GRS Kamnik. Poškodovano plezalko in njeno spremljevalko je s stene rešila dežurna ekipa GRS z Brnika s pomočjo helikopterja LPE. Poškodovano plezalko so nato prepeljali v nadaljnjo oskrbo v UKC Ljubljana.
322894;05.06.2022;12:38;2022;Nesreče v gorah;nesreče v gorah;46,485097;14,0615345;Ob 12.47 je pod Planino pod Golico, občina Jesenice, planinec zdrsnil v globel. Gorski reševalci GRS Jesenice so v sodelovanju z dežurno ekipo GRZS na kraju ugotovili, da poškodbe niso združljive z življenjem. V dolino je mrtvega planinca prepeljal helikopter SV v spremstvu dežurne ekipa GRZS.
322910;05.06.2022;14:21;2022;Nesreče v gorah;nesreče v gorah;46,2887056;13,6962247;Ob14.21 se je v planinski koči pri Krnskih jezerih, občina Kobarid, nahajala obolela oseba. Aktivirani so bili gorski reševalci GRS Bovec. Obolelo osebo je v UKC Ljubljana prepeljal helikopter SV skupaj z dežurno ekipo GRS na Brniku.
322905;05.06.2022;13:17;2022;Nesreče v gorah;nesreče v gorah;46,12955;14,463773;Ob 13.17 se je na poti na Šmarno goro, občina Ljubljana, poškodovala planinka. Na kraju so planiko oskrbeli reševalci NMP, do mesta pristanka helikopterja pa so jo prenesli gasilci GB Ljubljana, PGD Tacen in gorski reševalci GRS Ljubljana. V UKC Ljubljana pa je poškodovanko prepeljal helikopter SV skupaj z dežurno ekipo GRS.
322922;05.06.2022;17:22;2022;Nesreče v gorah;nesreče v gorah;46,3911665;13,9345128;Ob 17.30 je na Debeli peči, občina Gorje, na alpinista padla skala. Aktivirani so bili gorski reševalci GRS Mojstrana. V SB Jesenice pa je poškodovanega alpinista skupaj s soplezalcem prepeljal helikopter SV v spremstvu dežurne ekipe GRZS.
328177;05.08.2022;06:26;2022;Nesreče v gorah;nesreče v gorah;46,4216485;13,7855401;Ob 6.28 se je na območju Prisankovega okna, občina Kranjska gora, nadaljevalo reševanje nepoškodovanih planincev. Oba planinca je v dolino prepeljal helikopter LPE skupaj z gorskimi reševalci GRS Kranjska Gora. 
328182;05.08.2022;06:45;2022;Nesreče v gorah;nesreče v gorah;46,4495775;13,8169367;Ob 6.45 se je v severni steni Špika v občini Kranjska Gora smrtno ponesrečil alpinist. Reševalci GRS Kranjska Gora in dežurna ekipa za reševanje v gorah GRS Brnik so ga skupaj z nepoškodovanim soplezalcem dvignili v helikopter LPE. Prepeljali so ga v dolino. 
328186;05.08.2022;08:15;2022;Nesreče v gorah;nesreče v gorah;46,3795197;13,8496678;Ob 9.17 je helikopter LPE v spremstvu dežurne ekipe za reševanje v gorah z Brnika prepeljal obolelo osebo od koče na Kredarici v SB Jesenice.
328193;05.08.2022;09:52;2022;Nesreče v gorah;nesreče v gorah;46,3052827;13,7667827;Ob 9.57 je na poti od Koče pri sedmerih jezerih proti Komni v občini Bohinj planinca obšla slabost. Posredovali so reševalci GRS Bohinj, helikopter LPE in dežurna ekipa za reševanje v gorah GRS Brnik. Planinca so s helikopterjem LPE prepeljali v SB Jesenice.
328225;05.08.2022;17:15;2022;Nesreče v gorah;nesreče v gorah;46,3527294;13,6586783;Ob 17.20 se je na območju Planine nad Sočo, pod Bavškim Grintavcem v občini Bovec, med vračanjem iz planinske ture poškodoval pohodnik, tuj državljan. Posadka helikopterja LPE ga je v spremstvu dežurne ekipe za reševanje v gorah GRS Brnik in reševalcev postaje GRS Bovec prepeljala na heliodrom Bovec. Reševalci NMP ZD Tolmin so ga prepeljali v SB v Šempeter pri Gorici.
328210;05.08.2022;13:43;2022;Nesreče v gorah;nesreče v gorah;46,39731;13,8485934;Ob 13.43 je na Tominškovi poti na Triglav obnemogel planinec. Posredovali so reševalci GRS Mojstrana, dežurna ekipa za reševanje v gorah GRS Brnik in helikopter LPE, ki ga je prepeljal v dolino. 
328217;05.08.2022;15:05;2022;Nesreče v gorah;nesreče v gorah;46,3597547;13,5879412;Ob 15.11 se je pri Trnjavi Kluže, občina Bovec, pohodnik zaplezal v strmem pobočju. Posredovali so reševalci GRS Bovec. Z vrvno tehniko so planinca spravili na varno. V nesreči ni bil nihče poškodovan.
332186;05.09.2022;16:37;2022;Nesreče v gorah;nesreče v gorah;46,4894112;13,9791774;Ob 13.18 se je na poti na Dovško Babo, občina Kranjska Gora, izgubila planinka. Gorski reševalci GRS Mojstrana so planinko našli in nato nepoškodovano na klasični način pospremili v dolino.
339137;06.01.2023;12:48;2023;Nesreče v gorah;nesreče v gorah;46,2392336;13,8211954;Ob 13.02 sta na poti med Voglom in Vratci, občina Bohinj, obtičala planinca, zaradi poledenelega snega. Planinca se nista poškodovala, nista mogla tudi sestopiti s sedla. Reševalci GRS Bohinj so ju s pomočjo vrvne tehnike pospremili v dolino. 
314955;06.02.2022;12:34;2022;Nesreče v gorah;nesreče v gorah;46,4269342;13,6934005;Ob 12.34 si je na Kotovem sedlu v Ratečah, občina Kranjska Gora, turna smučarka poškodovala ramo. Gorski reševalci GRS Rateče in dežurna ekipa HNMP Brnik so poškodovano smučarko na kraju oskrbeli. Helikopter SV jo je prepeljal v SB Jesenice.
314960;06.02.2022;14:19;2022;Nesreče v gorah;nesreče v gorah;46,3972004;14,421393;Ob 14.19 je na Stegovniku, občina Tržič, planinka padla v globino okoli 130 metrov. Reševalci GRS Tržič so planinko našli mrtvo ter jo prenesli v dolino in v Tržiču predali pogrebni službi. Pobočje, kjer je planinka padla v globino, je pregledoval tudi helikopter SV. 
314963;06.02.2022;15:19;2022;Nesreče v gorah;nesreče v gorah;45,9145446;13,9094794;Ob 15.23 si je med potjo iz Ajdovščine proti Otliškem oknu, občina Ajdovščina, pohodnica poškodovala nogo. Reševalci GRS Tolmin - skupina Ajdovščina so poškodovano pohodnico oskrbeli na kraju samem in jo nato prenesli do reševalnega vozila NMP Ajdovščina. Prepeljali so jo v SB Šempeter pri Gorici. 
316558;06.03.2022;12:13;2022;Nesreče v gorah;nesreče v gorah;46,4401277;14,2128497;Ob 12.13 sta se v Y-grapi na Vrtači, občina Tržič, zaplezala plezalca. Reševalci GRS Tržič so nepoškodovana plezalca našli ter z vrvno tehniko spustili iz stene in pospremili do doma na Zelenici.
322974;06.06.2022;14:35;2022;Nesreče v gorah;nesreče v gorah;46,3556103;14,5618051;Ob 14.35 sta se pri sestopu s Skute, občina Kamnik, zaplezala in onemogla dva planinca. Posredovali so gorski reševalci GRS Kamnik in helikopter LPE, s katerim so planinca nepoškodovana prepeljali v dolino.
325728;06.07.2022;09:01;2022;Nesreče v gorah;nesreče v gorah;46,318737;13,779051;Ob 9.01 se je pri koči na Sedmerih jezerih, občina Bohinj, planinka poškodovala gleženj. Gorski reševalci GRS Bohinj in dežurna ekipa GRS Brnik so planinko na kraju oskrbeli, nato pa so jo s helikopterjem Slovenske vojske prepeljali v SB Jesenice.
325768;06.07.2022;15:16;2022;Nesreče v gorah;nesreče v gorah;46,30969;13,827756;Ob 15.16 je pri Koči na Planini pri Jezeru, občina Bohinj, obolela oseba potrebovala pomoč. Gorski reševalci GRS Bohinj so jo na kraju oskrbeli in prepeljali v dolino.
325778;06.07.2022;15:25;2022;Nesreče v gorah;nesreče v gorah;46,3197644;13,6811945;Ob 15.25 se je skupina belgijskih pohodnikov izgubila med hribom Predel in Vovenk, občina Bovec. Gorski reševalec jim preko telefona in posredovanih koordinat lokacije usmerja v dolino.
325788;06.07.2022;18:51;2022;Nesreče v gorah;nesreče v gorah;46,4316688;14,2538182;Ob 18.53 je pri sestopu z Zelenice v občini Tržič planinca obšla slabost. Gorski reševalci GRS Tržič so planinca na klasični način pospremili v dolino in nato v nadaljnjo oskrbo predali reševalcem NMP Tržič.
328288;06.08.2022;08:11;2022;Nesreče v gorah;nesreče v gorah;46,3441244;14,5468564;Ob 8.08 si je pri Cojzovi koči, občina Preddvor, planinec poškodoval nogo. Reševalci GRS Kranj in Kamnik ter ekipa HNMP Brnik so ga na kraju oskrbeli in s helikopterjem SV prepeljali v UKC Ljubljana.
332336;06.09.2022;14:34;2022;Nesreče v gorah;nesreče v gorah;46,421462;13,7804553;Ob 14.34 sta se pod Zadnjim oknom na Prisojniku, občina Bovec, zaplezali planinki. Posredovali so gorski reševalci GRS Bovec in helikopter LPE z dežurno ekipo GRS z Brnika. Helikopter je nepoškodovani planinki prepeljal v dolino. 
335044;06.10.2022;18:50;2022;Nesreče v gorah;nesreče v gorah;46,3337858;14,5691595;Ob 18.50 sta se med Žagano peč in Kalško goro v občini Kamnik v gozdu izgubila pohodnika. Gorski reševalci GRS Kamnik so izgubljena planinca našli in nepoškodovana na klasični način pospremili v dolino.
344660;07.04.2023;17:06;2023;Nesreče v gorah;nesreče v gorah;46,3409663;14,5473373;Ob 17.06 se je na območju Kalške gore, občina Preddvor, zaplezal planinec. Posredovali so gorski reševalci GRS Kranj, združena ekipa HeNMP - GRZS Brnik in posadka s helikopterjem SV. Helikopter je ekipo gorskih reševalcev prepeljal v bližino zaplezanega. Ti so se do planinca, ki je obtičal na ozki skalni polici, spustili po pobočju, izvedli varovanje z vrvmi in ga rešili iz težkega položaja. Na grebenu so ga z vitlanjem dvignili v helikopter in ga nepoškodovanega prepeljali v dolino. Reševanje s helikopterjem je bilo zelo zahtevno zaradi močnega vetra.
345985;07.05.2023;10:59;2023;Nesreče v gorah;nesreče v gorah;46,4292632;14,2325937;Ob 10.59 si je na pobočju Zelenice, naselje Doslovče, občina Žirovnica, planinka zlomila nogo. Gorski reševalci GRS Tržič so jo s pomočjo dežurne združene ekipe HNMP-GRSZ ter posadke s helikopterjem SV oskrbeli na kraju dogodka in jo prepeljali v SB Jesenice.
345988;07.05.2023;12:26;2023;Nesreče v gorah;nesreče v gorah;46,3037451;13,8849835;Ob 12.26 je na območju korit Mostnice, naselje Stara Fužina, občina Bohinj, tujo planinko obšla slabost. Gorski reševalci GRS Bohinj so jo prenesli do ceste in jo predali reševalcem NMP Bohinj.
325806;07.07.2022;05:51;2022;Nesreče v gorah;nesreče v gorah;46,4873949;15,4532535;Ob 5.51 se je v bližini slapa Šumik v naselju Smolnik, občina Ruše, poškodoval pohodnik. Gorski reševalci GRS Maribor in gasilci PGD Ruše so poškodovanega pohodnika poiskali, oskrbeli in nato predali reševalcem NMP Maribor.
